P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,SMILES,PICS
1,0,0,0,0,2,2,0,0,39,3,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,34,2,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,41,3,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,49,4,4,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,30,2,3,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,41,3,3,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,57,4,3,-1,0,2,0,0,0,0,0,0,0,0,0,,NULL
0,0,0,0,1,0,1,0,0,29,2,2,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
0,0,0,0,1,0,1,0,0,43,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
0,0,0,0,1,0,1,0,0,55,4,2,0,0,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,0,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,1,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,2,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,3,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,4,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,5,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,6,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,7,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,8,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,9,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,2,0,0,0,0,1,0,1,10,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,0,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,1,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,2,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,3,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,4,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,5,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,6,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,7,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,8,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,1,1,0,1,9,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,0,1,0,1,0,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,0,1,0,1,1,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
2,1,0,0,0,0,1,0,1,2,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,,NULL
